id,category,idea,mechanism,first_experiment,novelty_assessment,screen_cost,priority,related_sources
11,B,End-loss curvature for binary-factor tuning,"Approximate the downstream loss metric on block outputs using gradients or low-rank Fisher sketches, then tune binary factors in that metric.","Compare plain MSE, diagonal output weighting, GuidedQuant/YAQA-style weighting, and the proposed sketch at matched calibration cost.",Established adaptation,Medium–high,Second,https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693
12,B,Joint attention-output reconstruction,"Match the result of attention after Q/K, RoPE, softmax, and V interaction instead of independently emphasizing projection errors. Use sampled query positions to control memory.",Localize Q/K versus V/O effects by head and token position; require gains in language loss beyond attention-map similarity.,Established adaptation,Medium,Second,https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693
13,B,Joint gated-MLP product reconstruction,"Tune gate and up factors together against the nonlinear product and down-projected update, accounting for their interaction.","Start at block 2, where the covariance gain is MLP-associated; compare separate losses, product loss, and joint sign tuning.",Candidate component,Medium,First,https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693
14,B,Residual-update loss plus stream anchoring,Separate reconstruction of attention/MLP updates from reconstruction of the full residual stream. Keep a stream anchor so matching an update does not ignore inherited prefix error.,"Compare teacher–student update error, accumulated stream error, and held-out NLL across early and late blocks.",Established adaptation,Low,Second,https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693
15,B,Joint magnitude and direction preservation,"Decompose token-level feature mismatch into norm and angular components, retaining both rather than replacing the loss with inverse channel variance.",Compare raw MSE with an explicitly balanced norm/direction objective only at a fixed failing block; retune coefficient scales.,Established adaptation,Low,Second,https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693
16,B,Task-aware treatment of rare sensitive tokens,"Weight reconstruction using disagreement or curvature while capping individual weights, so rare important tokens matter without letting outliers consume the budget.","Stratify held-out metrics by token surprisal, position, and activation regime; compare uniform and importance-corrected sampling.",Established adaptation,Medium,Later,https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693
17,C,Fresh sequences at a fixed tuning-step budget,"Replace repeated passes over a small fixed set with newly sampled sequences, refreshing student inputs as needed. Separate data diversity from additional optimization.",Cross 128/512/1024 samples with fixed optimizer steps and with fixed epochs; keep the statistics cache fixed in one ablation.,Baseline / enabling,Low–medium,First,https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693 ; https://arxiv.org/abs/2601.11200 ; https://arxiv.org/abs/2604.24008 ; https://arxiv.org/abs/2602.07465 ; https://arxiv.org/abs/2608.08506
18,C,Robust tuning across quantized-prefix trajectories,"Train each vulnerable block against several realistic prefix-error trajectories, keeping the same FP teacher target for each sequence. Use actual alternate prefixes or validated structured perturbations.","Compare ordinary more-data training, isotropic noise, covariance-shaped noise, and real prefix replay at equal token/compute budgets.",Candidate core,Medium–high,First,https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693 ; https://arxiv.org/abs/2601.11200 ; https://arxiv.org/abs/2604.24008 ; https://arxiv.org/abs/2602.07465 ; https://arxiv.org/abs/2608.08506
19,C,Binary-decision disagreement for data selection,"Select calibration examples where plausible binary-factor solutions disagree in downstream behavior, combined with a diversity constraint and random anchors.","Compare random, activation-coverage, entropy, and sign-disagreement selection; count every scoring forward in the budget.",Candidate component,Medium–high,Second,https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693 ; https://arxiv.org/abs/2601.11200 ; https://arxiv.org/abs/2604.24008 ; https://arxiv.org/abs/2602.07465 ; https://arxiv.org/abs/2608.08506
20,C,Coverage of massive-activation regimes,"Ensure calibration covers the positions and token contexts that induce large activations, rather than merely selecting high-energy sequences.",Compare random 128/512 samples with regime-stratified sets; use per-projection inputs rather than assuming residual channel IDs transfer.,Established adaptation,Medium,Second,https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693 ; https://arxiv.org/abs/2601.11200 ; https://arxiv.org/abs/2604.24008 ; https://arxiv.org/abs/2602.07465 ; https://arxiv.org/abs/2608.08506
21,C,Same-family generated calibration data,"Mix original text with text generated by an appropriate teacher, keeping real-data anchors and reporting generation cost.","Compare equal-sized real, generated, and mixed sets across in-domain and out-of-domain evaluation.",Established adaptation,Medium–high,Later,https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693 ; https://arxiv.org/abs/2601.11200 ; https://arxiv.org/abs/2604.24008 ; https://arxiv.org/abs/2602.07465 ; https://arxiv.org/abs/2608.08506
22,C,Refresh input statistics on the compressed prefix,"Recollect local moments as earlier blocks and surviving full-precision weights change, instead of using only the initial FP cache.",Cross fixed/recomputed statistics with fixed/recomputed tuning data; test whether covariance's gain becomes more transferable.,Established adaptation,Medium,First,https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693 ; https://arxiv.org/abs/2601.11200 ; https://arxiv.org/abs/2604.24008 ; https://arxiv.org/abs/2602.07465 ; https://arxiv.org/abs/2608.08506
23,C,Held-out calibration and early stopping,Reserve validation documents or use cross-fitting to stop block tuning and select checkpoints. Separate this split from the final reporting set.,Compare last iterate and selected iterate with an explicit equal-compute control; measure correlation between proxy and NLL.,Baseline / enabling,Low–medium,First,https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693 ; https://arxiv.org/abs/2601.11200 ; https://arxiv.org/abs/2604.24008 ; https://arxiv.org/abs/2602.07465 ; https://arxiv.org/abs/2608.08506
24,C,Domain- and length-robust calibration,"Use multiple domains and sequence lengths, optionally with a worst-group objective, to reduce specialization to WikiText2 at length 2048.",Report per-domain and per-length NLL; compare against simply increasing the random calibration set.,Established adaptation,Medium,Second,https://arxiv.org/abs/2602.05902 ; https://arxiv.org/abs/2605.05693 ; https://arxiv.org/abs/2601.11200 ; https://arxiv.org/abs/2604.24008 ; https://arxiv.org/abs/2602.07465 ; https://arxiv.org/abs/2608.08506
25,D,Marginal validation benefit per storage bit,"Probe legal rank changes and allocate by measured reduction in held-out NLL per added packed bit, not accumulated hidden-state error.","Compare uniform, current log-error heuristic, DBF allocation, and finite-difference allocation with search cost included.",Established adaptation,Medium–high,First,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/block_bits.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/1911.03852 ; https://arxiv.org/abs/2505.03802 ; https://arxiv.org/abs/2608.08506 ; https://arxiv.org/abs/2607.12266
26,D,Interaction-aware rank exchanges,Estimate whether changing two neighboring or coupled projections together helps beyond their isolated effects. Use a sparse interaction graph and budget-preserving exchanges.,Measure rank-response interactions at matched prefixes and compare with an additive allocator using the same number of probes.,Candidate core,High,First,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/block_bits.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/1911.03852 ; https://arxiv.org/abs/2505.03802 ; https://arxiv.org/abs/2608.08506 ; https://arxiv.org/abs/2607.12266
27,D,Joint allocation of rank and tuning steps,Choose whether each unit of training compute should buy more optimization at the current rank or support a different rank allocation.,Build small rank-by-step response surfaces; compare against uniform steps and the strongest rank-only baseline.,Candidate core,High,Second,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/block_bits.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/1911.03852 ; https://arxiv.org/abs/2505.03802 ; https://arxiv.org/abs/2608.08506 ; https://arxiv.org/abs/2607.12266
28,D,Uncertainty-aware rank allocation,Use repeated short probes or bootstrap document splits to avoid spending bits on noisy sensitivity estimates; optimize conservative expected benefit.,Hold the search budget fixed; compare mean-only allocation with lower-confidence benefit estimates and random exchanges.,Candidate component,Medium–high,Second,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/block_bits.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/1911.03852 ; https://arxiv.org/abs/2505.03802 ; https://arxiv.org/abs/2608.08506 ; https://arxiv.org/abs/2607.12266
29,D,Projection-specific capacity within blocks,"Allocate independently to Q/K/V/O and gate/up/down, respecting kernel rank multiples and unequal matrix shapes.",Test a few coupled groups first; compare with block-only allocation at exact packed bytes.,Established adaptation,Medium,First,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/block_bits.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/1911.03852 ; https://arxiv.org/abs/2505.03802 ; https://arxiv.org/abs/2608.08506 ; https://arxiv.org/abs/2607.12266
30,D,Joint rank and protected-residual budgeting,Trade binary rank against a small high-precision or low-bit correction path under one storage and latency budget.,"Compare extra rank, protected columns, and residual factors at the same complete byte count.",Established adaptation,Medium–high,Second,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/block_bits.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/1911.03852 ; https://arxiv.org/abs/2505.03802 ; https://arxiv.org/abs/2608.08506 ; https://arxiv.org/abs/2607.12266
31,D,Allocation by measured inference latency,"Treat legal rank configurations as hardware-dependent choices, jointly constrained by packed bytes and profiled prefill/decode latency.",Benchmark real packed kernels; compare memory-only and latency-aware allocation across at least two batch regimes.,Candidate systems component,High,Second,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/block_bits.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/1911.03852 ; https://arxiv.org/abs/2505.03802 ; https://arxiv.org/abs/2608.08506 ; https://arxiv.org/abs/2607.12266
32,D,Learned nested binary ranks,Train ordered groups of binary components so prefixes of the rank dimension remain usable at several budgets.,"Compare separately trained models with one nested model at 0.5/0.75/1/1.25 nominal bits, counting padding and scales.",Candidate core,High,Later,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/block_bits.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/1911.03852 ; https://arxiv.org/abs/2505.03802 ; https://arxiv.org/abs/2608.08506 ; https://arxiv.org/abs/2607.12266
33,E,Protected input columns under a strict budget,"Keep a small set of damaging columns in higher precision and subtract their storage from binary ranks. Select on quantization damage, not activation energy alone.","Compare energy, residual-error, and end-loss selection against equal-byte extra binary rank; test sparse-kernel cost.",Established adaptation,Medium,Second,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2402.17762 ; https://arxiv.org/abs/2405.18886 ; https://arxiv.org/abs/2602.02001 ; https://arxiv.org/abs/2306.03078 ; https://arxiv.org/abs/2306.07629 ; https://arxiv.org/abs/2404.00456 ; https://arxiv.org/abs/2405.16406 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537
34,E,Protected functional subspace plus binary complement,"Reserve a tiny path for stable, high-impact directions and factorize the complement. Learn or select the subspace using downstream error rather than only top input eigenvalues.","Compare coordinate columns, activation PCs, residual SVD, and task-sensitive directions at equal bytes and time.",Candidate core,High,Second,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2402.17762 ; https://arxiv.org/abs/2405.18886 ; https://arxiv.org/abs/2602.02001 ; https://arxiv.org/abs/2306.03078 ; https://arxiv.org/abs/2306.07629 ; https://arxiv.org/abs/2404.00456 ; https://arxiv.org/abs/2405.16406 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537
35,E,Per-component intermediate scales,Use the already-supported scale_mid path to weight binary rank components independently; include its storage in allocation and compare joint versus scale-only fitting.,Confirm whether baseline export populates scale_mid; then ablate with rank reduced to pay for the new scales.,Existing code path / baseline,Low,First,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2402.17762 ; https://arxiv.org/abs/2405.18886 ; https://arxiv.org/abs/2602.02001 ; https://arxiv.org/abs/2306.03078 ; https://arxiv.org/abs/2306.07629 ; https://arxiv.org/abs/2404.00456 ; https://arxiv.org/abs/2405.16406 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537
36,E,Shared input binary bases across projections,"Factor Q/K/V or gate/up with a shared input basis and private output bases, spending saved storage on additional rank or private residual components.",Start with gate/up versus Q/K/V sharing; compare equal bytes and actual reused intermediate computation.,Candidate core,High,Second,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2402.17762 ; https://arxiv.org/abs/2405.18886 ; https://arxiv.org/abs/2602.02001 ; https://arxiv.org/abs/2306.03078 ; https://arxiv.org/abs/2306.07629 ; https://arxiv.org/abs/2404.00456 ; https://arxiv.org/abs/2405.16406 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537
37,E,Multiple binary groups with separate scales,"Partition rank components into a few groups with independent input/output scales, increasing representational flexibility without full dense correction.",Compare one group and several groups with all repeated scales charged; benchmark launch overhead.,Candidate component,Medium–high,Later,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2402.17762 ; https://arxiv.org/abs/2405.18886 ; https://arxiv.org/abs/2602.02001 ; https://arxiv.org/abs/2306.03078 ; https://arxiv.org/abs/2306.07629 ; https://arxiv.org/abs/2404.00456 ; https://arxiv.org/abs/2405.16406 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537
38,E,Binary-aware orthogonal preprocessing,"Optimize legal network rotations for the approximation class of two binary factors, not only for outlier reduction or scalar quantization.","Compare no rotation, random legal rotation, SpinQuant-style rotation, and a binary-factor-aware objective.",Candidate component,High,Later,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2402.17762 ; https://arxiv.org/abs/2405.18886 ; https://arxiv.org/abs/2602.02001 ; https://arxiv.org/abs/2306.03078 ; https://arxiv.org/abs/2306.07629 ; https://arxiv.org/abs/2404.00456 ; https://arxiv.org/abs/2405.16406 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537
39,E,Structured bias or mean correction,Separate stable mean errors from token-varying errors and fit small bias or affine corrections where the model's computation permits it.,Evaluate global and position-conditioned mean correction; include metadata and avoid assuming massive activations are constant for all tokens.,Established adaptation,Low–medium,Second,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2402.17762 ; https://arxiv.org/abs/2405.18886 ; https://arxiv.org/abs/2602.02001 ; https://arxiv.org/abs/2306.03078 ; https://arxiv.org/abs/2306.07629 ; https://arxiv.org/abs/2404.00456 ; https://arxiv.org/abs/2405.16406 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537
40,E,Hybrid low-bit latent factors,Use binary factors for most components and a small number of ternary or 2-bit components where they buy more quality per byte than rank growth.,Compare against more binary rank and a low-rank residual; require an implemented storage format and kernel path.,Candidate component,High,Later,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2505.11076 ; https://arxiv.org/abs/2402.17762 ; https://arxiv.org/abs/2405.18886 ; https://arxiv.org/abs/2602.02001 ; https://arxiv.org/abs/2306.03078 ; https://arxiv.org/abs/2306.07629 ; https://arxiv.org/abs/2404.00456 ; https://arxiv.org/abs/2405.16406 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537
41,F,Asymmetric covariance factorization,"Fit teacher outputs on teacher inputs using quantized-prefix inputs as regressors, incorporating cross-moments rather than only E[xx^T].",Compare the current covariance objective with direct asymmetric regression at identical input streams and rank.,Established adaptation,Medium,First,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/nanoquant_cov.patch ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/importance.py ; https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902
42,F,Two-sided curvature-aware ADMM,"Add structured output sensitivity as well as input covariance, using diagonal-plus-low-rank factors to bound solve cost.","Compare to GuidedQuant/YAQA/KronQ-inspired baselines; measure final NLL, not just the newly optimized quadratic.",Established adaptation,High,Later,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/nanoquant_cov.patch ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/importance.py ; https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902
43,F,Domain-robust covariance objectives,"Optimize across domain- or bootstrap-specific moments, or a bounded uncertainty set, rather than one covariance estimate.",Use held-out domains and a fixed data budget; compare robust fitting with simple shrinkage and more samples.,Candidate component,Medium–high,Second,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/nanoquant_cov.patch ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/importance.py ; https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902
44,F,Low-rank-plus-diagonal covariance approximation,Preserve only the correlation modes that materially affect reconstruction; use a sketch and efficient solves for the rest.,"Measure full-covariance objective error, final quality, peak memory, and wall time as sketch rank changes.",Established adaptation / efficiency,Medium,Later,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/nanoquant_cov.patch ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/importance.py ; https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902
45,F,Data-adaptive correlation shrinkage,"Choose shrinkage from held-out prediction or estimation uncertainty by layer, rather than a fixed global coefficient or a five-way full tuning search.",Compare statistically selected beta with fixed beta and validation-PPL selection at matched end-to-end cost.,Established adaptation,Low–medium,Later,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/nanoquant_cov.patch ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/importance.py ; https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902
46,F,Reproducible spectral or residual initialization,"Initialize factors from structured projections or sequential residual fits, and audit whether better starts reduce subsequent sign churn.",Compare total compute to random initialization and short multi-starts; preserve the same binary representation.,Established adaptation,Medium,Later,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/nanoquant_cov.patch ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/importance.py ; https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902
47,F,ADMM selected by downstream usefulness,"Choose ADMM checkpoints or penalty schedules by a cheap downstream proxy and early fine-tuning response, rather than factorization residual alone.","Track ADMM residuals, held-out feature error, and short-tuning NLL; compare fixed 400 iterations with budget-matched selection.",Candidate component,Medium,Second,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/nanoquant_cov.patch ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/importance.py ; https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902
48,F,Order-invariant calibration-statistics estimation,Audit the online clipping estimator against a fixed-threshold two-pass estimator and raw moments. Multiplying old aggregates when thresholds rise does not reconstruct earlier unclipped samples exactly.,"Permute the calibration order, compare diagonal and full moments, and repeat only promising settings through block tuning.",Diagnostic / baseline,Low–medium,First,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/nanoquant_cov.patch ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/importance.py ; https://arxiv.org/abs/2505.07004 ; https://arxiv.org/abs/2505.22988 ; https://arxiv.org/abs/2607.07964 ; https://arxiv.org/abs/2504.09629 ; https://arxiv.org/abs/2602.05902
